WDID,Y,X
3600507,39.782243,-106.171172
3600603,39.702602,-106.10655
3600606,39.876799,-106.341912
3600642,39.777158,-106.158841
3600645,39.838853,-106.35029
3600649_D,39.772565,-106.178702
3600658,39.652799,-106.104154
3600660,39.795947,-106.163345
3600662_D,39.857656,-106.346406
3600671,39.736577,-106.13337
3600687,39.768836,-106.181301
3600709,40.012803,-106.383593
3600725,39.822714,-106.255622
3600728,39.827773,-106.25636
3600729,39.826876,-106.254806
3600734,39.671478,-106.08953
3600765,39.807309,-106.168665
3600775,39.952843,-106.358157
3600776_D,39.963434,-106.359051
3600780,39.758106,-106.131223
3600784,39.644615,-106.026602
3600796,39.813944,-106.203719
3600801,39.879016,-106.389365
3600829,39.644492,-106.027638
3600832,39.856752,-106.365993
3600841,39.388067,-106.197474
3600868_D,39.856926,-106.286912
3600881,39.878681,-106.332824
3600908,39.606716,-105.951578
3600989,39.475246,-106.047176
3601008,39.45554,-106.031436
3601016,39.499333,-106.152132
3604512HU,39.618299,-106.065573
3604626,39.622912,-105.791442
3604683,39.382956,-106.07716
3604683SU,39.382956,-106.07716
3604684,39.616983,-106.044229
3604685,39.417587,-105.96566
3604699,39.380773,-106.071342
36GMCON,39.878681,-106.332824
36_ADC017,39.72615453,-106.134661
36_ADC018,39.84293271,-106.2757344
36_ADC019,39.95206016,-106.393507
36_KeyMun,39.606716,-105.951578
3700519,39.575911,-106.571044
3700539,39.614502,-106.96348
3700545,39.645208,-106.835015
3700548,39.647302,-106.878727
3700560,39.615485,-106.614854
3700561,39.595279,-106.96968
3700571,39.62783,-106.614069
3700642,39.689736,-106.746039
3700655,39.574181,-106.959431
3700658,39.63714,-106.546979
3700686,39.616155,-106.765133
3700694,39.626774,-106.787703
3700708,39.626476,-106.507
3700723,39.642209,-106.826976
3700743,39.667267,-106.646102
3700823,39.55905,-106.951102
3700830,39.635462,-106.535639
3700843,39.574717,-106.764722
3700848,39.688493,-106.748421
3700857,39.623455,-106.773835
3701146,39.703645,-106.658586
3704516HU,39.369483,-106.46119
3704614,39.356768,-106.466345
3704641,39.375708,-106.234958
3704642,39.36515,-106.29201
3704643,39.390028,-106.47035
3704648,39.354099,-106.352703
37VAILIRR,39.656892,-106.3787223
37VAILMUN,39.656892,-106.3787223
37_ADC029,39.67366856,-106.6746498
37_ADC030,39.60258182,-106.7690498
37_ADC031,39.58643568,-106.9513865
3800516,39.462355,-107.32419
3800528,39.399815,-107.119918
3800545,39.283778,-107.014763
3800547,39.367164,-107.202849
3800569,39.462777,-107.109812
3800572,39.225715,-107.087365
3800573,39.265298,-107.028072
3800574,39.375094,-107.201809
3800606,39.256193,-106.84895
3800618,39.414734,-107.218828
3800639,39.245433,-107.036747
3800651,39.293947,-107.21552
3800659,39.290879,-106.910278
3800660,39.22533,-107.018233
3800663,39.339807,-107.207837
3800667,39.468409,-107.073362
3800688,39.480198,-107.317193
3800712,39.417669,-107.232604
3800715,39.346417,-107.013347
3800720,39.245671,-107.037043
3800740,39.374939,-107.084595
3800749,39.142621,-106.894552
3800755,39.185247,-106.835669
3800757,39.357198,-107.026504
3800798,39.410533,-107.180067
3800800,39.334652,-106.990687
3800822,39.420442,-107.30578
3800838,39.400735,-107.146399
3800840,39.326386,-107.209097
3800854,39.163787,-106.880651
3800861,39.260861,-107.032974
3800869,39.16192,-106.847064
3800879,39.469505,-107.06834
3800880_D,39.2982,-107.111746
3800881,39.467102,-107.062596
3800890,39.198128,-106.986387
3800893,39.403593,-107.315351
3800902,39.460043,-107.100626
3800920,39.40545,-107.2019
3800924,39.253243,-106.838136
3800925,39.461649,-107.157068
3800930,39.402155,-107.161656
3800939,39.331804,-107.218861
3800959,39.322629,-106.983572
3800966,39.445394,-107.262843
3800968,39.369826,-107.070723
3800970,39.368861,-107.202217
3800981,39.180601,-106.802566
3800989,39.343333,-107.075555
3800994,39.311112,-107.114396
3800996,39.400525,-107.159049
3801012,39.271569,-106.958102
3801018,39.405609,-107.228295
3801038,39.272698,-107.225202
3801052,39.291697,-107.20264
3801062,39.399768,-107.154835
3801066,39.491463,-107.23626
3801073,39.273971,-106.87351
3801078,39.273262,-106.958137
3801082,39.384947,-107.206763
3801096_D,39.297346,-106.999962
3801101,39.167421,-106.881098
3801104,39.164773,-106.940391
3801121,39.329243,-106.985638
3801132,39.276952,-106.885265
3801147,39.401299,-107.229424
3801441,39.189483,-106.985542
3801481,39.502391,-107.160375
3801594,39.210843,-106.677785
3801661,39.252716,-106.83562
3801790,39.204908,-106.799817
3803713I1,39.363693,-106.818708
3803713I2,39.363693,-106.818708
3803713M1,39.363693,-106.818708
3803713M2,39.363693,-106.818708
3803713M3,39.363693,-106.818708
3804613,39.264631,-106.499428
3804617,39.0789,-106.613323
3804625,39.244396,-106.530528
3804625SU,39.244396,-106.530528
3804717,39.434641,-107.372342
38_ADC033,39.25996003,-106.8850134
38_ADC034,39.2674953,-107.0056436
38_ADC035,39.3856139,-106.8719747
38_ADC036,39.3210276,-107.0621003
38_ADC037,39.40672292,-107.1306777
38_ADC038,39.32960537,-107.2169552
38_ADC039,39.48292933,-107.1441029
38_ADC040,39.43073798,-107.3207838
3900532,39.511599,-107.85685
3900537,39.468781,-108.078274
3900539,39.596529,-107.557329
3900540,39.652202,-107.49984
3900546_D,39.587652,-108.108307
3900547,39.626518,-107.757652
3900548,39.644321,-107.446489
3900562,39.561701,-108.114001
3900563,39.675752,-107.698383
3900563_I,39.675752,-107.698383
3900574,39.596753,-107.765646
3900585,39.652033,-107.704314
3900590,39.529034,-108.127243
3900610,39.519213,-108.131652
3900612,39.55079,-107.571276
3900635,39.476396,-108.100497
3900638,39.620788,-107.546725
3900645,39.616871,-107.764048
3900663,39.541511,-107.616824
3900672,39.597055,-107.571008
3900687,39.578272,-107.545778
3900701,39.606499,-107.550896
3900710,39.460452,-108.036349
3900712,39.460388,-108.036283
3900728,39.460643,-108.036986
3900825,39.605761,-107.448753
3900967,39.532145,-107.756157
3900990,39.617706,-107.764486
3903505_I,39.605834,-107.66081
39_ADC041,39.63755707,-107.5672916
39_ADC045,39.64921209,-107.8260647
4200520,39.598096,-107.766386
4200541,39.598096,-107.766386
4200541_I,39.598096,-107.766386
4500514,39.436062,-107.978413
4500572,39.508299,-107.51888
4500576_D,39.346955,-107.588768
4500584,39.444088,-107.603816
4500616,39.47563,-107.909289
4500632_D,39.435264,-107.914415
4500635,39.518713,-107.543106
4500638,39.440762,-107.985981
4500648,39.50395,-107.512174
4500668,39.53854,-107.646963
4500675,39.505227,-107.608493
4500685,39.420186,-107.701867
4500693_D,39.509851,-107.608445
4500704,39.459302,-107.625268
4500705,39.491649,-107.50246
4500725,39.391925,-107.601793
4500743,39.538417,-107.64238
4500749,39.485754,-107.449926
4500788,39.473855,-107.424531
4500790,39.464832,-107.612259
4500793,39.487068,-107.831368
4500810,39.523852,-107.612006
4500818,39.414611,-107.615606
4500861,39.331377,-108.204942
4500969,39.382585,-108.129986
45_ADC042,39.54374186,-107.4872089
45_ADC043,39.45902469,-107.5724948
45_ADC044,39.42783638,-107.7197128
45_ADC046,39.48527177,-107.8468791
45_ADC047,39.46161867,-107.9214576
45_ADC048,39.42099487,-108.024191
5000517,40.119348,-106.286255
5000526,40.076491,-106.29459
5000539,40.168934,-106.298658
5000574,40.163442,-106.491878
5000576,40.172712,-106.259996
5000582,40.163117,-106.466688
5000585,40.142082,-106.466124
5000593,40.19878,-106.309966
5000598,40.1575,-106.283434
5000601,40.356447,-106.571609
5000606,40.213675,-106.311416
5000612,40.048666,-106.384052
5000613,40.045395,-106.394426
5000617,40.160817,-106.559201
5000627,40.140645,-106.470466
5000628,40.227052,-106.313814
5000632,40.140505,-106.28219
5000653_D,40.134811,-106.288257
5000654,40.194336,-106.307848
5000656,40.208235,-106.429895
5000731,40.150725,-106.29791
5000734_D,40.062836,-106.393727
5000744,40.361029,-106.632369
5003668FR,40.113067,-106.414864
5003668HU,40.113067,-106.414864
5003668MK,40.113067,-106.414864
5003668MP,40.113067,-106.414864
50_ADC012,40.1363322,-106.3063634
50_ADC013,40.30411308,-106.541208
50_ADC014,40.25724354,-106.4589983
50_ADC015,40.21155614,-106.4273822
50_ADC016,40.15099369,-106.5063799
50_ADC020,40.05516364,-106.3870959
5100529_D,39.970031,-106.158973
5100546,40.136807,-105.928851
5100585,40.127212,-105.88984
5100594,39.947677,-105.878099
5100629,40.060998,-106.214923
5100639,39.861633,-105.749423
5100660,39.932424,-105.842826
5100686,40.083596,-105.94587
5100699,39.952082,-105.814357
5100700,39.949511,-105.822843
5100728,39.996799,-105.75435
5100763,40.055336,-106.284165
5100788,39.93917,-106.135605
5100810,40.136511,-106.20092
5100826,40.078559,-105.916622
5100829,39.932378,-105.844435
5100831,40.082442,-105.934397
5100848,40.251869,-105.867817
5100858,40.103948,-106.187642
5100876,40.087775,-105.966475
5100880_D,40.117501,-105.926878
5100883,40.095975,-106.038557
5100893,40.061131,-106.245241
5100924,39.966983,-106.074147
5100934,40.184567,-105.978836
5100939,40.086526,-106.071567
5100941,40.074483,-105.85757
5100948,40.084556,-105.816524
5100958,40.144627,-105.902241
5101070,39.843352,-106.081849
5101148,40.041693,-106.373758
5101149,40.045163,-106.357836
5101231,40.047314,-105.788791
5101237,40.035003,-106.205232
5101269,39.929165,-105.734877
5101309_D,39.852592,-105.909507
5101310,39.865501,-105.820266
5103709HU,40.035047,-106.205338
5104601,40.4765,-105.822919
5104603,39.761058,-105.906106
5104625,39.79902,-105.77669
5104634,40.241634,-105.801378
5104655,39.887233,-105.761203
5104700,40.108407,-105.982068
51_ADC001,40.22975063,-105.8762486
51_ADC002,40.14353199,-105.9451937
51_ADC003,39.97292966,-105.7817053
51_ADC004,39.95567996,-105.8648155
51_ADC005,40.0258744,-105.9781005
51_ADC006,40.075126,-105.9090405
51_ADC007,40.10403969,-106.0067132
51_ADC008,40.05002418,-106.0883959
51_ADC009,39.90023801,-106.1345187
51_ADC010,39.95709387,-106.2025502
51_ADC011,40.06250341,-106.2179777
5200559,39.908055,-106.475284
5200572,39.863907,-106.471871
5200658,39.904717,-106.527936
5200731,39.78286,-106.999062
52_ADC021,39.89443973,-106.5540214
52_ADC027,39.85116789,-106.834935
5300555_D,39.942832,-107.066621
5300584,39.587911,-107.193675
5300585,39.569679,-107.292547
5300621,40.033116,-106.923238
5300632,39.795016,-107.207041
5300657,40.003026,-106.687615
5300678,39.900102,-107.094302
5300767_D,39.800312,-107.159055
5300780,39.898668,-106.992658
5300783,40.048259,-106.831549
5300800,39.898968,-107.062074
5300883,39.805334,-106.982264
5301051,39.609224,-107.271268
5301082,40.03248,-106.94585
53_ADC022,40.04040697,-106.9245041
53_ADC023,40.02537705,-106.8618148
53_ADC024,40.05336006,-106.9015057
53_ADC025,40.07737395,-106.7555467
53_ADC026,39.94831039,-106.7604654
53_ADC028,39.93082324,-106.9639555
53_ADC032,39.75444272,-107.1271461
7000520,39.33198,-108.208847
7000521,39.490388,-108.322057
7000530,39.435752,-108.28861
7000550,39.488779,-108.349753
7000558,39.333835,-108.202616
7000571,39.488913,-108.353176
7000580,39.367592,-108.255436
7000583_D,39.367683,-108.255356
7000584,39.395422,-108.27043
7000596,39.526915,-108.46305
70_ADC049,39.50084165,-108.3904856
70_ADC050,39.40680659,-108.3789873
7200512_D,39.170508,-108.799968
7200514,39.10544,-108.155437
7200533,39.182964,-107.952631
7200542,39.105333,-107.904932
7200557,39.12226,-108.037755
7200558,39.167863,-108.072034
7200574,39.197577,-107.963423
7200580,39.277662,-107.955657
7200583,39.125517,-107.967292
7200607,39.180127,-107.950957
7200616,39.207731,-107.762341
7200628,39.225376,-107.81393
7200643,39.179752,-107.951001
7200644,39.127617,-108.325965
7200645,39.101353,-108.350223
7200646,39.188796,-108.282621
7200646_I,39.188796,-108.282621
7200649,39.185191,-107.904035
7200652,39.274635,-107.756024
7200703,39.262877,-107.887599
7200721,39.205752,-107.970977
7200729,39.181956,-107.950925
7200730_D,39.174687,-107.806126
7200731,39.105152,-108.154917
7200744,39.203934,-107.823424
7200746,39.199932,-107.820726
7200764,39.128661,-108.294412
7200764_I,39.128661,-108.294412
7200766,39.15709,-108.141964
7200766_I,39.15709,-108.141964
7200784,39.086792,-108.127115
7200799,39.133741,-107.998629
7200807,39.19714,-108.048563
7200813,39.136386,-108.322759
7200813BP,39.136386,-108.322759
7200813CH,39.136386,-108.322759
7200813PP,39.136386,-108.322759
7200813PW,39.136386,-108.322759
7200816,39.127209,-108.297655
7200818,39.210474,-107.979529
7200820_D,39.205249,-107.81361
7200821,39.13313,-107.9984
7200823,39.128557,-107.997814
7200831,39.150848,-108.061043
7200852_D,39.142584,-107.930122
7200870,39.186205,-107.955565
7200879,39.224159,-107.812662
7200911,39.210721,-107.98088
7200920,39.193588,-108.0646
7200933,39.117357,-108.157751
7200938,39.198484,-107.964641
7201233,39.267744,-107.902795
7201329_D,39.131868,-108.323868
7201330,39.046987,-108.514737
7201334,39.15722,-108.142231
7201339,39.185206,-108.130328
7201478,39.326462,-108.218153
7201487,39.19698,-108.049314
7201523,39.326462,-108.218153
7201574,39.157793,-108.125599
7202003,39.055689,-108.570544
7202003_M,39.055689,-108.570544
7204715,39.06777,-107.806639
7204721,39.245318,-107.585313
72_ADC051,39.201016,-107.754245
72_ADC052,39.24948621,-107.862013
72_ADC053,39.23007891,-107.8860424
72_ADC054,39.28623418,-107.7431467
72_ADC055,39.28972371,-107.8828111
72_ADC056,39.1826309,-107.9067276
72_ADC057,39.21403174,-107.9451607
72_ADC058,39.26137883,-108.0063735
72_ADC059,39.19606689,-107.9820853
72_ADC060,39.15968998,-108.019071
72_ADC061,39.15697857,-108.0594098
72_ADC062,39.15290342,-108.1153043
72_ADC063,39.1169481,-108.1457796
72_ADC064,39.15617499,-108.1913945
72_ADC065,39.36444275,-108.7426223
72_GJMun,39.127617,-108.325965
72_UWCD,39.193588,-108.0646
MoffatBF,39.887233,-105.761203